city,month,year,period,mean_temp,mean_rainfall
Akola,June,1961-2000,40,31.55,144.9
Akola,July,1961-2000,40,27.95,217.2
Akola,August,1961-2000,40,26.8,196.6
Akola,September,1961-2000,40,27.5,122.7
Akola,October,1961-2000,40,26.9,47.7
Akola,November,1961-2000,40,23.65,18.7
Akola,December,1961-2000,40,20.95,12.1
Aurangabad,June,1952-2000,49,28.8,132.2
Aurangabad,July,1952-2000,49,26,157.9
Aurangabad,August,1952-2000,49,25.15,152.7
Aurangabad,September,1952-2000,49,25.45,146
Aurangabad,October,1952-2000,49,24.9,62.1
Aurangabad,November,1952-2000,49,21.85,26.8
Aurangabad,December,1952-2000,49,19.55,12
Jodhpur,June,1901-2000,100,34.15,35.1
Jodhpur,July,1901-2000,100,31.4,120.8
Jodhpur,August,1901-2000,100,29.5,128.9
Jodhpur,September,1901-2000,100,29.55,57.6
Jodhpur,October,1901-2000,100,27.95,8.1
Jodhpur,November,1901-2000,100,23,2.6
Jodhpur,December,1901-2000,100,18.8,1.6
Chennai,June,1901-2000,100,32.35,53.9
Chennai,July,1901-2000,100,30.7,99.6
Chennai,August,1901-2000,100,30,129.9
Chennai,September,1901-2000,100,29.55,123.5
Chennai,October,1901-2000,100,28,284.6
Chennai,November,1901-2000,100,26,353
Chennai,December,1901-2000,100,24.8,146.3
Bangalore,June,1901-2000,100,24.6,79.7
Bangalore,July,1901-2000,100,23.5,109.7
Bangalore,August,1901-2000,100,23.4,138.8
Bangalore,September,1901-2000,100,23.6,185.9
Bangalore,October,1901-2000,100,23.4,161.7
Bangalore,November,1901-2000,100,22,59.2
Bangalore,December,1901-2000,100,20.8,17.4
Bhatinda,June,1959-1984,24,34.1,34.1
Bhatinda,July,1959-1984,24,31.6,133.1
Bhatinda,August,1959-1984,24,30.35,120.2
Bhatinda,September,1959-1984,24,29,47
Bhatinda,October,1959-1984,24,25.15,7.8
Bhatinda,November,1959-1984,24,18.9,7.7
Bhatinda,December,1959-1984,24,13.95,6.8
Bhopal,June,1949-2000,52,31.1,120.2
Bhopal,July,1949-2000,52,26.95,354.1
Bhopal,August,1949-2000,52,25.7,363.3
Bhopal,September,1949-2000,52,26.05,185.1
Bhopal,October,1949-2000,52,25.25,31
Bhopal,November,1949-2000,52,21.55,12.1
Bhopal,December,1949-2000,52,18.45,11
Bhubaneshwar,June,1952-2000,49,30.65,204.9
Bhubaneshwar,July,1952-2000,49,28.6,326.2
Bhubaneshwar,August,1952-2000,49,28.35,366.8
Bhubaneshwar,September,1952-2000,49,28.35,256.3
Bhubaneshwar,October,1952-2000,49,27.21,190.7
Bhubaneshwar,November,1952-2000,49,24.5,41.7
Bhubaneshwar,December,1952-2000,49,21.75,4.9
Darjeeling,June,1901-2000,97,16.45,570
Darjeeling,July,1901-2000,97,16.85,781.7
Darjeeling,August,1901-2000,97,16.9,635.3
Darjeeling,September,1901-2000,97,16.25,437.3
Darjeeling,October,1901-2000,97,14.15,122.5
Darjeeling,November,1901-2000,97,10.5,23.5
Darjeeling,December,1901-2000,97,7.4,7
Agra,June,1901-2000,100,34.8,55.7
Agra,July,1901-2000,100,31.05,203.3
Agra,August,1901-2000,100,29.45,243.2
Agra,September,1901-2000,100,29.15,129.7
Agra,October,1901-2000,100,26.55,24.8
Agra,November,1901-2000,100,20.85,4.3
Agra,December,1901-2000,100,16.05,6.1
Pune,June,1901-2000,100,27.4,120.4
Pune,July,1901-2000,100,21.53,179
Pune,August,1901-2000,100,25.6,21.3,106.4
Pune,September,1901-2000,100,24.9,129.1
Pune,October,1901-2000,100,25.3,78.8
Pune,November,1901-2000,100,22.65,28.6
Pune,December,1901-2000,100,20.55,5.3
Raipur,June,1901-1998,97,31.8,209.4
Raipur,July,1901-1998,97,27.25,369.1
Raipur,August,1901-1998,97,26.95,365.4
Raipur,September,1901-1998,97,27.55,216.6
Raipur,October,1901-1998,97,26.4,52.1
Raipur,November,1901-1998,97,22.7,11.4
Raipur,December,1901-1998,97,19.9,4.2
Solapur,June,1901-2000,100,29.15,116.9
Solapur,July,1901-2000,100,27,129.9
Solapur,August,1901-2000,100,26.55,119.8
Solapur,September,1901-2000,100,26.69,182.4
Solapur,October,1901-2000,100,26.71,85.4
Solapur,November,1901-2000,100,24.3,26.4
Solapur,December,1901-2000,100,22.55,7.8
